Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Date
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.55,08-Aug-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.58,09-Aug-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.55,10-Aug-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.54,11-Aug-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.52,14-Aug-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.53,16-Aug-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.53,17-Aug-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.52,18-Aug-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.6,21-Aug-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.65,22-Aug-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.71,23-Aug-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.72,24-Aug-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.7,25-Aug-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.73,28-Aug-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.74,29-Aug-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.79,30-Aug-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.85,31-Aug-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.91,01-Sep-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.96,04-Sep-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.02,05-Sep-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.04,06-Sep-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.1,07-Sep-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.17,08-Sep-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.24,11-Sep-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.02,12-Sep-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.03,13-Sep-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.12,14-Sep-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.15,15-Sep-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.09,18-Sep-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.02,20-Sep-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.92,21-Sep-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.88,22-Sep-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.91,25-Sep-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.9,26-Sep-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.97,27-Sep-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.97,29-Sep-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.98,03-Oct-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.87,04-Oct-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.93,05-Oct-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.96,06-Oct-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.85,09-Oct-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.98,10-Oct-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.05,11-Oct-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.08,12-Oct-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.09,13-Oct-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.11,16-Oct-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.14,17-Oct-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.05,18-Oct-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.05,19-Oct-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.97,20-Oct-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.69,23-Oct-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.59,25-Oct-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.52,26-Oct-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.72,27-Oct-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.75,30-Oct-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.74,31-Oct-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.69,01-Nov-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.77,02-Nov-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.84,03-Nov-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.93,06-Nov-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.01,07-Nov-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.06,08-Nov-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.05,09-Nov-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.09,10-Nov-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.15,13-Nov-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.33,15-Nov-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.43,16-Nov-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.46,17-Nov-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.44,20-Nov-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.46,21-Nov-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.44,22-Nov-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.44,23-Nov-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.44,24-Nov-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.45,28-Nov-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.53,29-Nov-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.63,30-Nov-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.72,01-Dec-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.87,04-Dec-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.88,05-Dec-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.91,06-Dec-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.91,07-Dec-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.87,08-Dec-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.95,11-Dec-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.87,12-Dec-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.96,13-Dec-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,13.09,14-Dec-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,13.12,15-Dec-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,13.11,18-Dec-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,13.1,19-Dec-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.8,20-Dec-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.91,21-Dec-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.96,22-Dec-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,12.99,26-Dec-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,13.05,27-Dec-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,13.08,28-Dec-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,13.11,29-Dec-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,13.13,01-Jan-24
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,13.09,02-Jan-24
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,13.11,03-Jan-24
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,13.24,04-Jan-24
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,13.27,05-Jan-24
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,13.19,08-Jan-24
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,13.25,09-Jan-24
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,13.28,10-Jan-24
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,13.35,11-Jan-24
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,13.45,12-Jan-24
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,13.5,15-Jan-24
